text,label
"How to access Model S frunk?",2
"Favorite city visited?",1
"Shrink the volume.",0
"Shall we look for the most popular street food vendors nearby?",1
"Shall we plan your return route now?",1
"Do you want to visit local artisan workshops to see craftsmen at work?",1
"Do you want to know about local volunteer opportunities?",1
"Recall the previous song.",0
"Play the prior song.",0
"Can I help you find the best-reviewed cafes in our next stop?",1
"Adjust the volume downwards.",0
"Can I inform you about any upcoming road constructions?",1
"Shall we find some local legends and share them during our drive?",1
"Can I suggest some eco-friendly activities you can engage in locally?",1
"Want a book recommendation?",1
"Initiate the sound.",0
"Upcoming plans?",1
"Turn the volume to a minimum.",0
"Activate the sound system.",0
"Jump back to the previous song.",0
"Can seats be heated and cooled?",2
"Any favorite local artists?",1
"Engage the heating system.",0
"Can I assist with planning a surprise for someone at our destination?",1
"Adjust the volume upwards.",0
"Deactivate the music.",0
"Raise the sound level.",0
"Raise the audio intensity.",0
"Enable the air conditioning.",0
"Handling flat tire on Model S?",2
"Want some music?",1
"Sound off.",0
"Where is Model S VIN located?",2
"What is the maximum cargo weight capacity of the Tesla Model S?",2
"Do you want to know about the best venues for live jazz or classical music?",1
"Boot up the air conditioner.",0
"Would you like to explore local gardens or greenhouses?",1
"How do you control the climate settings remotely in a Tesla Model S?",2
"Pairing phones with Model S?",2
"Should I track the weather along our route?",1
"Do you want to participate in a community event or workshop while we're here?",1
"Lane departure warning system?",2
"Would you like to take the scenic route today?",1
"Can I help you find a safe place to meet friends or family?",1
"Tesla Model S regenerative braking setup?",2
"Volume up to full.",0
"Shall we find a nearby playground or park for a quick family stop?",1
"Do you want to visit a botanical garden or a conservatory?",1
"Do you want me to turn on the headlights?",1
"Bring up the volume.",0
"Silent mode.",0
"Set the previous song to play.",0
"What is Model S's acceleration boost upgrade?",2
"Coffee or tea?",1
"Disable the AC.",0
"Stop the track.",0
"What are the best practices for cleaning the Tesla Model S’s vegan leather upholstery?",2
"Shall we look for a place to have a picnic with locally sourced products?",1
"Turn down the audio level.",0
"Do you want me to check if there are any local road advisories?",1
"Command the heater to start.",0
"Raise the volume a notch.",0
"Want a joke?",1
"Lower the heater.",0
"Enjoy the current weather?",1
"Cease the music.",0
"Mute the speakers.",0
"How can you check the alignment of the Tesla Model S wheels?",2
"What's your dream vacation?",1
"Fancy a trivia challenge?",1
"Would you like to explore the local nightlife, including bars and clubs?",1
"Diminish the volume.",0
"What are the different seating configurations available in a Tesla Model S?",2
"Initiate the music playback.",0
"Volume to a lower setting.",0
"Set the air conditioning active.",0
"Quench the sound.",0
"Replay the track before this one.",0
"Do you want to find out about any eco-friendly or green initiatives in the area?",1
"Need any activity suggestions?",1
"How do you use the Tesla Model S’s lane keeping assistance?",2
"Preferred tire pressure for Model S?",2
"Press off on the heater.",0
"Can I help you plan a scenic photography day, focusing on urban landscapes?",1
"Halt the audio.",0
"Are we stopping for coffee on the way?",1
"Can I help you find a nearby lake or river where you can rent a boat or fish?",1
"Would you like to explore dining options that meet your dietary restrictions?",1
"Would you like to hear some local ghost stories or folklore?",1
"Press play on the music.",0
"Can I assist you with locating pet-friendly accommodations along our route?",1
"What voice commands can be used with the Tesla Model S?",2
"Do you need assistance finding an alternate route due to traffic ahead?",1
"Start the heater.",0
"Switch the thermostat on.",0
"Suspend the music.",0
"Do you want to know about traditional crafts that are made in this area?",1
"Do you want to participate in a local charity event or fun run?",1
"Sound shutoff.",0
"Like art galleries?",1
"Programming Model S HomeLink?",2
"Can I provide you with updates on your favorite sports teams?",1
"Do you want to know about family-friendly activities available in this area?",1
"Suppress the sound.",0
"Fire up the air conditioner.",0
"Do you need any help with language translation at our destination?",1
"What is the roof rack weight limit?",2
"How to replace remote batteries?",2
"Should I find the current speed limits for our route?",1
"Can I find a nearby market where you can experience local crafts?",1
"Crank up the sound.",0
"How to maintain tire balance?",2
"Expand the volume.",0
"Is there a particular radio station you enjoy?",1
"Enjoy dancing?",1
"Shall we look up the best spots for scenic drives in the area?",1
"Volume, up!",0
"Can I assist you in finding overnight accommodations that fit your budget?",1
"What's your favorite local event?",1
"Cut off the air conditioning.",0
"Can I find a nearby observatory where you might attend a star-gazing event?",1
"Bring the heater to a stop.",0
"Do you want me to activate the child locks as we start moving?",1
"Activate the AC system.",0
"Can I help you locate a quiet spot by the water to relax or meditate?",1
"Heard any good music lately?",1
"Disable the heater.",0
"Bring in the music.",0
"Downscale the volume.",0
"Mute all audio.",0
"How to adjust Model S's digital instrument cluster?",2
"Seen any wildlife around?",1
"Power down the air conditioning.",0
"Would you like to hear the story behind the famous monument we're passing?",1
"Should I look up local theaters for a movie or a live performance tonight?",1
"Do you want to look at reviews for local attractions?",1
"Lower the volume level.",0
"Tesla Model S brake fluid check?",2
"What are the charging connector types compatible with the Tesla Model S?",2
"Pump up the volume.",0
"Shall we find a place where you can observe local artisans at work, perhaps in a studio or workshop setting?",1
"How do you pair a smartphone with the Tesla Model S?",2
"Can it automatically handle software updates?",2
"How do you activate and set up Tesla Model S driver profiles?",2
"Increase the decibels.",0
"Begin playing music.",0
"Hush the sound.",0
"Increase the loudness.",0
"Decrease the decibels.",0
"Extinguish the heater.",0
"Start the tunes.",0
"Do you need to charge your phone? There’s a charger available here.",1
"Shall we plan a route that avoids toll roads?",1
"Can I help you find a place to stretch your legs?",1
"Set the heater to on.",0
"What are the functions of the Tesla Model S mobile app?",2
"De-escalate the volume.",0
"Like any sports?",1
"Model S brake pad replacement intervals?",2
"Shall we look for volunteer opportunities at local shelters or food banks?",1
"Should we search for a nice spot to watch the sunset this evening?",1
"Favorite genre of music?",1
"Put the heater off.",0
"Should we check for updates on your travel itinerary?",1
"Bring the air conditioning online.",0
"Celebrated here before?",1
"Sound mute.",0
"Model S wheel options and specifications?",2
"Do you need information on local emergency services?",1
"What methods can be used to improve Tesla Model S efficiency?",2
"Need any recommendations?",1
"What accessories are available for the Tesla Model S?",2
"Do you want to learn about the architectural styles prevalent in this town?",1
"Watched any new shows?",1
"Begin the music session.",0
"Would you like to learn about the local flora and fauna on a nature walk?",1
"Model S vegan leather care tips?",2
"Can I assist you in finding a quiet place for a quick meeting?",1
"Enjoy local festivals?",1
"Put on the air conditioning.",0
"Can I help you discover a local observatory for an evening of star gazing?",1
"Commence the music.",0
"Silence the heater.",0
"Would you like to know the forecast for your destination?",1
"Turn out the air conditioner.",0
"Volume to the max.",0
"What is the range on a full charge?",2
"Mute it.",0
"Should I search for historical landmarks along our route?",1
"Begin the melody.",0
"Zero out the sound.",0
"Kill the sound.",0
"Hit the switch on the heater.",0
"Model S seat configuration options?",2
"Can I help you find venues that offer craft beer tasting?",1
"Can I assist you with any phone calls?",1
"Start the air conditioning.",0
"Can I find local swimming pools or beaches for a quick swim?",1
"Activate indoor heating.",0
"Favorite local spot?",1
"How to optimize regenerative braking settings?",2
"Can I help you find a place to dance salsa, tango, or ballroom?",1
"Rev up the air conditioner.",0
"Can I check if there are any local cultural events today?",1
"Model S warranty coverage for battery pack?",2
"Want a podcast recommendation?",1
"Do you need any reminders set for today?",1
"Boost up the volume.",0
"How to adjust driver seat memory?",2
"Can I read out some customer reviews for a restaurant you're interested in?",1
"Do you want to know the best places to witness local festivals or celebrations?",1
"Extinguish the air conditioner.",0
"Can I help you discover a local bakery famous for its pastries or bread?",1
"Can I help you discover the most popular local dishes and where to find them?",1
"Turn the heating on.",0
"Would you like me to search for historical sites along our route?",1
"Favorite local dish?",1
"Wind down the music.",0
"Shall we find a park where you can play frisbee or have a picnic?",1
"Visited these parts before?",1
"Checking Model S tire alignment?",2
"Shall I find the nearest tourist information center for more detailed guides?",1
"Flip on the music.",0
"How about we play some games to pass the time?",1
"Can I find a nearby location for you to take a scenic photo?",1
"Do you have any specific podcasts or audiobooks in mind for today?",1
"Need dining options?",1
"Would you like to check your email while I drive?",1
"Would you like to explore a local maze or labyrinth?",1
"Would you like to discuss your itinerary for the day?",1
"Shutdown the air cooling system.",0
"Silence the sound.",0
"How do you operate the panoramic sunroof in a Tesla Model S?",2
"Do you want me to find the best viewpoints along our route?",1
"Can I help you find a quiet café that offers a good environment for reading or working?",1
"Setting up Model S Wi-Fi?",2
"Read any good books recently?",1
"Would you like to visit a farmer's market to sample fresh local produce?",1
"Would you like to adjust your seat settings?",1
"Would you like to know about any nature parks or conservation areas nearby?",1
"Prefer books or movies?",1
"Deactivate the AC system.",0
"Increase the volume.",0
"Would you like to hear a brief history of this city as we drive through it?",1
"What's included in the basic warranty?",2
"What is the range of the Tesla Model S on a full charge?",2
"Mute the volume.",0
"Replay the preceding song.",0
"What to do when the alarm sounds?",2
"Can I help you plan the best stops for our long drive?",1
"What is the acceleration boost upgrade?",2
"Would you like to learn some history about the places we are passing?",1
"Sound the music.",0
"Cycle back to the previous song.",0
"Hit the music button.",0
"Can I help you with directions to the airport?",1
"Do you want to hear some interesting facts about the region?",1
"Quiet the audio.",0
"Shall we find the nearest public gardens where you can enjoy a peaceful walk?",1
"How can you schedule charging times for a Tesla Model S?",2
"Shall we look for any special events happening today?",1
"Deactivate the heating system.",0
"Do you want to attend a workshop on local wildlife or bird conservation?",1
"Do you want me to enable alerts for any changes in speed limits?",1
"Warranty coverage for the battery pack?",2
"Stop the melody.",0
"How to troubleshoot Homelink problems?",2
"Can I assist with setting up any navigation alerts?",1
"Would you like to rehearse your presentation while we drive?",1
"Start the musical session.",0
"Would you like to explore some local markets?",1
"Quell the music.",0
"Set the air conditioner to on.",0
"Commence the air conditioning.",0
"Would you like to adjust the lighting in the car for evening driving?",1
"Would you like to learn about significant historical events that took place here?",1
"Would you like to explore any nearby nature reserves for wildlife watching?",1
"Can I find an outdoor adventure spot for climbing, hiking, or zip-lining?",1
"Does it support Apple CarPlay?",2
"Can I help you locate the nearest pharmacy or convenience store?",1
"How do you activate Autopilot on the Tesla Model S?",2
"Can I assist you with finding eco-friendly travel options?",1
"Should we find a quiet route if you need to make a business call?",1
"Like street art?",1
"Are the kids comfortable back there?",1
"Can I help you plan a route that includes charging stations for your electric vehicle?",1
"Would you like to discuss your upcoming appointments?",1
"What is the procedure for deactivating the Tesla Model S immobilizer?",2
"Silence the volume a bit.",0
"Augment the volume.",0
"Do you need to know the best time and place to view the northern lights here?",1
"Should I enable the lane-keeping assist for this highway stretch?",1
"Would you like to know about any concerts or live music happening this weekend?",1
"Turn off the music.",0
"Roll the music.",0
"Put the heater into operation.",0
"Reduce the volume level.",0
"Can I suggest some podcasts that match your interests for our trip?",1
"Shall we search for a yoga studio where you can join a class today?",1
"Should we plan a stop at a nearby museum or art gallery?",1
"Read any good books lately?",1
"Shall we search for a nearby botanical garden or arboretum to visit?",1
"Quench the air conditioning.",0
"Can I help you find a place where you can learn about indigenous cultures or history?",1
"Mute the media.",0
"Fancy some local cuisine?",1
"Like puzzles?",1
"Model S software version?",2
"Would you like to learn how to use voice commands more effectively?",1
"Like any local crafts?",1
"Decrease the volume.",0
"How to use Model S's traffic-aware cruise control?",2
"Hush the audio.",0
"Cut power to the air conditioner.",0
"Volume down, please.",0
"Launch the air conditioning.",0
"How do you adjust the Tesla Model S’s rear-view mirror?",2
"Switch the air conditioner to on.",0
"How to enable Model S child safety locks?",2
"Magnify the sound.",0
"Would you like to hear some road safety tips?",1
"Reverse to the previous song.",0
"Disable the air conditioner.",0
"Heard about local heroes?",1
"Prefer coffee or tea?",1
"Would you like to visit a historical fort or castle with guided tours?",1
"Any good weekend stories?",1
"Do you want to know the best times to travel to avoid traffic?",1
"Like this area?",1
"Best way to clean exterior sensors?",2
"What should you do if the Tesla Model S’s airbags deploy?",2
"Suppress the air conditioner.",0
"Would you like to hear about any specialty foods that are must-tries in this region?",1
"Enjoy photography?",1
"Can I assist you with finding artisan markets or local craft fairs?",1
"Click off the air conditioner.",0
"Subdue the volume.",0
"Recommended Model S maintenance schedule?",2
"How do you check the software version currently installed on a Tesla Model S?",2
"Would you like to adjust the navigation voice settings?",1
"Do you want to explore local libraries or cultural centers?",1
"Would you like to hear about the top tourist attractions in this city?",1
"Do you need recommendations for a good place to relax and unwind?",1
"Would you like me to explain how to use the automatic parking feature?",1
"Do you want to know more about eco-friendly driving practices?",1
"Shall we look for a craft market where you can buy unique handmade gifts?",1
"Are there any landmarks you are interested in seeing today?",1
"It looks like it might rain. Should I check the weather forecast?",1
"Prefer sunrises or sunsets?",1
"Engage the air conditioner.",0
"Heighten the volume.",0
"What to check if AC isn't cooling?",2
"How can you adjust the Tesla Model S’s interior lighting?",2
"Cancel the sound.",0
"Can I adjust the navigation settings to avoid toll roads?",1
"Shall we search for historic sites related to famous personalities from here?",1
"Launch the heater.",0
"How do you change the key fob battery for a Tesla Model S?",2
"What are the safety features of the Tesla Model S?",2
"Initiate the heater.",0
"How to clean the touch screen properly?",2
"Can I help you find a bookstore that specializes in rare or used books?",1
"Do you want to check out the top-rated local bakeries for some fresh pastries?",1
"Abort the music.",0
"Trigger the music start.",0
"Turn on the music.",0
"Mute the volume.",0
"What is the maximum cargo capacity?",2
"Make the air conditioner work.",0
"Can I assist you with any luggage you have?",1
"Can I find a poetry slam or open mic night in the area?",1
"Flip on the heater.",0
"Backtrack to the previous song.",0
"Would you like to know where to find the best ice cream in town?",1
"Shall we look for a nice spot for a picnic in the countryside?",1
"Do you want to know where to find the best local seafood restaurant?",1
"Favorite type of cuisine?",1
"Can I update you on today’s sports scores?",1
"How to fold rear seats?",2
"Kill the heater.",0
"Got a favorite childhood game?",1
"Can I find a local gym or sports center where you can play basketball or squash?",1
"Drop the beat.",0
"Shall we search for a venue that hosts live comedy nights?",1
"Want to hear a fun fact?",1
"Start cooling the air.",0
"Model S energy saving tips?",2
"Shall we search for live theatrical performances happening around us?",1
"How do you activate valet mode in a Tesla Model S?",2
"Cease the heating.",0
"Model S energy consumption monitoring tips?",2
"Do you need any assistance with your driving settings?",1
"Cut power to the heater.",0
"Watched any blockbuster movies recently?",1
"Would you like to adjust the car's ambient temperature?",1
"Start the AC system.",0
"What are the different modes available in the Tesla Model S climate system?",2
"What's the local specialty here?",1
"How to restore factory settings?",2
"Do you need information on local parking regulations?",1
"Would you like some help with travel insurance options?",1
"Would you like to know about any local ghost tours or haunted places?",1
"Tone down the audio.",0
"Shall we find a place where you can taste the best local craft beers?",1
"Glass roof UV protection features?",2
"Lessen the volume.",0
"Can I suggest some popular local dishes you might enjoy trying?",1
"Bring the heater online.",0
"Need a break from driving?",1
"Would you like to discover unique local shops for vintage or second-hand goods?",1
"What are the best practices for cleaning the Tesla Model S exterior?",2
"Pause the music.",0
"Play the preceding track.",0
"Should we listen to some live traffic updates?",1
"Can I provide you with some relaxation tips during our drive?",1
"Shall we search for the best local boutiques for shopping?",1
"How do you troubleshoot door handle issues in a Tesla Model S?",2
"Can I provide real-time updates on sports games while we drive?",1
"Can I find an outdoor adventure company that offers guided tours or excursions?",1
"Start playing the tunes.",0
"Neutralize the air conditioner.",0
"What safety precautions should be taken when working on the Tesla Model S?",2
"Shall we look for the best local spots to enjoy a sunset or sunrise?",1
"What are the best driving practices?",2
"What should be done if the Tesla Model S’s alarm keeps going off?",2
"Best cleaning methods for Model S?",2
"Favorite season?",1
"Can I read out some funny tweets to lighten the mood?",1
"Discontinue the music.",0
"Need a scenic route?",1
"Let the air conditioning run.",0
"Would you like to know about the best local pizzerias?",1
"Favorite travel memory?",1
"Silence the air conditioning.",0
"Prefer mountains or beach?",1
"Stop the song.",0
"Model S climate control tips?",2
"Would you like to plan a day trip to nearby towns or villages?",1
"Would you like to hear some local legends or spooky tales?",1
"Intensify the sound.",0
"Heat the space.",0
"How are you feeling today? Anything special on your mind?",1
"What are the custom driver settings?",2
"How to connect Model S to home Wi-Fi?",2
"Like this song?",1
"Make it louder.",0
"Do you want to hear about any famous films that were shot in this area?",1
"What is Model S's roof rack weight limit?",2
"Would you like to learn how to make crafts like pottery or glass-blowing in a local workshop?",1
"Would you like to explore some hidden gems off the usual tourist path?",1
"Would you like to check on the status of your home security system?",1
"Increment the volume.",0
"Would you like to hear some trivia while we drive?",1
"Decrease the loudness.",0
"How do you manually override the automatic door handles on a Tesla Model S?",2
"Start the music playing.",0
"Do you want to explore any historical sites nearby?",1
"Start up the music.",0
"What's your favorite sport to watch?",1
"Muffle the sound.",0
"Can I find an antique market where you can browse vintage treasures?",1
"Would you like to know the weather forecast for tomorrow?",1
"Play the music.",0
"Engage the heater.",0
"Ever tried surfing?",1
"Activate the air cooling.",0
"Crank up the air conditioner.",0
"How do you adjust the headlights on a Tesla Model S?",2
"Should I look up the historical significance of our destination?",1
"Would you like to find a quiet library or study area?",1
"Open with some music.",0
"Collapse the air conditioning.",0
"Should I send an arrival time notification to your host?",1
"Neutralize the sound.",0
"Flick on the air conditioner.",0
"Weekend plans?",1
"Shall we check out the best spots for stargazing tonight?",1
"How can you monitor energy consumption in the Tesla Model S?",2
"Would you like to know the current air quality index outside?",1
"Roll back to the previous track.",0
"Shall we find the nearest winery or distillery where you can book a tasting?",1
"Stop the heater.",0
"Like this temperature?",1
"Shall we search for places offering yoga or meditation classes in nature settings?",1
"Play back the previous song.",0
"Stop the music now.",0
"What tire pressure is recommended for the Tesla Model S?",2
"Can I find a place where you can learn about local wildlife conservation?",1
"Can I help you discover local art by emerging artists?",1
"Adjusting Model S steering wheel?",2
"Stop the sound.",0
"Want some snacks?",1
"Activate the room heater.",0
"Seen this movie?",1
"Do you want to visit any nearby natural springs or waterfalls?",1
"Fancy a local trivia?",1
"Enable the heating.",0
"Do you have enough leg room?",1
"How to use voice navigation?",2
"Model S interior lighting settings?",2
"Can I help you find the most romantic dinner spots in town?",1
"Heard the latest local news?",1
"What are Model S's scheduled maintenance alerts?",2
"Do you need to find a cozy spot for afternoon tea or coffee?",1
"Set the heater to off.",0
"Turn the cooling off.",0
"How to set up driver profiles?",2
"Hit the off switch on the heater.",0
"Would you like to discover some nature trails for hiking or biking?",1
"Would you like to explore some off-the-beaten-path attractions that locals love?",1
"Energize the air conditioning.",0
"Want a historical tidbit?",1
"Shall we look for local events where you can meet new people?",1
"Should I monitor the tire pressure during our trip?",1
"How to troubleshoot Bluetooth connectivity issues?",2
"Bring down the volume.",0
"Ever explored local ghost stories?",1
"Can I help you locate a venue hosting a film screening or a movie under the stars?",1
"Flick off the air conditioner.",0
"How can you enhance the Tesla Model S’s regenerative braking?",2
